IP:Port,Loss,Latency
188.114.99.199:5956,0%,32.17
188.114.98.238:7281,0%,32.21
188.114.97.158:7103,0%,32.23
188.114.99.220:878,0%,32.25
188.114.96.238:955,0%,32.28
188.114.96.255:942,0%,32.32
188.114.99.225:5956,0%,32.41
188.114.97.30:1843,0%,32.41
188.114.99.230:1701,0%,32.45
188.114.99.253:500,0%,32.47
188.114.97.177:1074,0%,32.51
188.114.96.48:7156,0%,32.60
188.114.98.115:943,0%,32.60
188.114.98.154:968,0%,32.63
188.114.99.9:1701,0%,32.64
188.114.97.134:2408,0%,32.67
188.114.99.215:1010,0%,32.71
188.114.98.98:3476,0%,32.73
188.114.98.251:1070,0%,32.85
188.114.99.248:1010,0%,32.89
188.114.99.117:946,0%,32.90
188.114.96.213:987,0%,33.04
188.114.98.22:2506,0%,33.07
188.114.97.106:891,0%,33.35
188.114.97.113:1074,0%,33.38
188.114.98.180:943,0%,36.07
188.114.99.253:1014,0%,36.12
188.114.99.140:8854,0%,36.27
188.114.98.78:4233,0%,36.28
188.114.99.115:8742,0%,36.52
188.114.98.208:1074,0%,36.59
188.114.97.2:890,0%,36.70
188.114.97.222:8319,0%,36.71
188.114.99.179:7152,0%,36.72
188.114.96.74:7152,0%,36.74
188.114.99.104:1701,0%,36.74
188.114.96.50:2408,0%,36.74
188.114.98.39:943,0%,36.83
188.114.98.69:928,0%,36.84
188.114.97.126:988,0%,36.87
188.114.98.241:4198,0%,36.94
188.114.96.236:988,0%,36.94
188.114.99.70:1701,0%,37.02
188.114.96.16:1701,0%,37.08
188.114.99.191:928,0%,37.08
188.114.98.239:934,0%,37.08
188.114.97.139:890,0%,37.10
188.114.97.80:890,0%,37.12
188.114.96.135:4500,0%,37.17
188.114.99.248:5279,0%,37.18
188.114.96.46:928,0%,37.20
188.114.97.38:854,0%,37.26
188.114.97.23:987,0%,37.29
188.114.96.115:5279,0%,37.36
188.114.96.77:4500,0%,37.37
188.114.99.198:891,0%,37.38
188.114.96.130:2506,0%,37.47
188.114.96.3:928,0%,37.49
188.114.98.20:890,0%,37.53
188.114.97.125:894,0%,37.55
188.114.99.8:1014,0%,37.59
188.114.99.8:908,0%,37.60
